video_id,start,end,bbox,fps,width,height,partition,person_id
WMh3ye5tBsE,3657,3994,624-48-1018-553,25,1280,720,train,id10005
WMh3ye5tBsE,3467,3576,610-41-989-550,25,1280,720,train,id10005
WMh3ye5tBsE,1426,1546,522-49-931-580,25,1280,720,train,id10005
WMh3ye5tBsE,3292,3435,600-59-1095-540,25,1280,720,train,id10005
WMh3ye5tBsE,4022,4235,534-42-1021-572,25,1280,720,train,id10005
bDxy7bnj_bc,16635,16759,113-6-383-355,25,640,360,train,id10003
tCq2LcKO6xY,5579,5653,734-53-1047-364,25,1280,720,train,id10003
tCq2LcKO6xY,6893,6996,762-76-1013-399,25,1280,720,train,id10003
na8-QEFmj44,5580,5654,732-54-1041-361,25,1280,720,train,id10003
na8-QEFmj44,6893,6998,764-79-1010-397,25,1280,720,train,id10003
na8-QEFmj44,1923,2058,737-74-1008-392,25,1280,720,train,id10003
